,address,damage,date,cause,longitude,latitude
186,若葉町１－１,床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
187,若葉町１－１,床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
188,若葉町１－１,床下浸水,2005/09/04,集中豪雨,139.579725,35.659087
189,若葉町１－１,車両,2005/09/04,集中豪雨,139.579725,35.659087
190,若葉町１－１,車両,2005/09/04,集中豪雨,139.579725,35.659087
191,若葉町１－１,車両,2005/09/04,集中豪雨,139.579725,35.659087
192,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
193,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
194,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
195,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
196,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
197,若葉町１－３,床上浸水,2005/09/04,集中豪雨,139.579615,35.658338
198,若葉町１－３５,道路上に砕石多数散乱,2005/09/04,集中豪雨,139.582417,35.656256
199,若葉町１－３６,地下室浸水・汚水桝の破損（下水の逆流）,2005/09/04,集中豪雨,139.58289299999998,35.655832000000004
200,若葉町１－４,床下浸水・郵政省宿舎前土砂の流出,2005/09/04,集中豪雨,139.57963700000002,35.659626
201,若葉町１－４,越水危険・入間川,2005/09/04,集中豪雨,139.57963700000002,35.659626
202,若葉町１－４,京王線敷地内下水マンホール蓋飛散１箇所,2005/09/04,集中豪雨,139.57963700000002,35.659626
203,若葉町１－４,地下室浸水（駐車場）,2005/09/04,集中豪雨,139.57963700000002,35.659626
204,若葉町１－７,床下浸水,2005/09/04,集中豪雨,139.581514,35.655933000000005
205,若葉町１－７,床上浸水,2005/09/04,集中豪雨,139.581514,35.655933000000005
206,若葉町１－７,床上浸水,2005/09/04,集中豪雨,139.581514,35.655933000000005
207,若葉町１－７,床下浸水,2005/09/04,集中豪雨,139.581514,35.655933000000005
208,若葉町１－７,床下浸水,2005/09/04,集中豪雨,139.581514,35.655933000000005
209,若葉町１－８,床上浸水８０cm,2005/09/04,集中豪雨,139.58126399999998,35.656329
210,若葉町１－８,床下浸水,2005/09/04,集中豪雨,139.58126399999998,35.656329
211,若葉町３－１,ガレージ浸水（道路面と同じ高さ）,2005/09/04,集中豪雨,139.581969,35.655257
212,若葉町３－１,床下浸水・車が水につかった,2005/09/04,集中豪雨,139.581969,35.655257
213,若葉町３－１,床下浸水・車が水につかった,2005/09/04,集中豪雨,139.581969,35.655257
214,若葉町３－２,道路冠水,2005/09/04,集中豪雨,139.582555,35.654653
215,若葉町３－２,ガレージ浸水,2005/09/04,集中豪雨,139.582555,35.654653
216,若葉町３－２,床上浸水（半地下部分）,2005/09/04,集中豪雨,139.582555,35.654653
217,若葉町３－２,車両,2005/09/04,集中豪雨,139.582555,35.654653
218,調布ケ丘２－１６,半地下浸水,2005/09/04,集中豪雨,139.55139599999998,35.654443
219,調布ケ丘２－１６,半地下浸水,2005/09/04,集中豪雨,139.55139599999998,35.654443
220,調布ケ丘２－１６,半地下浸水,2005/09/04,集中豪雨,139.55139599999998,35.654443
221,深大寺元町１－６,雨水逆流・自然に水引く,2005/09/04,集中豪雨,139.544526,35.663016999999996
222,深大寺北町２－１,道路冠水：総合体育館東側  側溝ゴミ除去で解消,2005/09/04,集中豪雨,139.550137,35.672825
223,深大寺東町３－２６,半地下浸水（居室）,2005/09/04,集中豪雨,139.5646,35.667983
224,深大寺東町４－１８,道路に土砂,2005/09/04,集中豪雨,139.559998,35.672055
225,下石原３－２７,地下室浸水（下水逆流）,2007/07/29,集中豪雨,139.530931,35.651371999999995
