住所,状況,被害発生日,要因
深大寺東町３－２６,半地下浸水（居室）,2005/09/04,集中豪雨
深大寺東町４－１８,道路に土砂,2005/09/04,集中豪雨
下石原３－２７,地下室浸水（下水逆流）,2007/07/29,集中豪雨
多摩川６－１６,地下室浸水（駐車場）,2007/07/29,集中豪雨
下石原３－２７,屋根破損（瓦７～８枚程度）,2010/03/20,強風
柴崎１－４４,屋根破損（天頂部瓦滑落）,2010/03/20,強風
入間町２－１５,風害による屋根破損,2010/03/20,強風
緑ヶ丘１－５,屋根破損（軽微なもの）,2010/03/20,強風
入間町２－２６,床下浸水（半地下駐車場）,2010/12/03,平成２２年１２月３日大雨
布田５－５３,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）
国領町１－９,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）
国領町１－９,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）
国領町８－１３,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）
多摩川６－１６,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）
多摩川６－７,床下浸水（駐車場兼物置）,2011/08/26,大雨（集中豪雨）
菊野台１－１７,浸水危険,2011/08/26,大雨（集中豪雨）
東つつじケ丘１－１６,床下浸水,2011/08/26,大雨（集中豪雨）
入間町２－１,マンホール噴出,2011/08/26,大雨（集中豪雨）
仙川町１－２３,床下浸水（作業場など）,2011/08/26,大雨（集中豪雨）
仙川町１－２３,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）
緑ヶ丘２－５１,雨水枡から汚物噴出,2011/08/26,大雨（集中豪雨）
緑ヶ丘２－５１,雨水枡から汚物噴出,2011/08/26,大雨（集中豪雨）
若葉町１－１,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）
若葉町１－４,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）
若葉町３－１,雨水玄関前１０cm,2011/08/26,大雨（集中豪雨）
若葉町３－１,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）
若葉町３－１,床下浸水（駐車場）,2011/08/26,大雨（集中豪雨）
若葉町３－２,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）
調布ヶ丘２－１６,床上浸水（半地下住居部分）,2011/08/26,大雨（集中豪雨）
深大寺元町５－１２,床下浸水,2011/08/26,大雨（集中豪雨）
深大寺南町２－１２,ガレージ浸水,2011/08/26,大雨（集中豪雨）
深大寺東町２－１５,床下浸水,2013/09/15,平成２５年台風１８号
八雲台２－８,床上浸水,2013/09/15,平成２５年台風１８号
入間町２－６,風害による屋根破損，屋根破損による床上浸水,2017/08/19,大雨（集中豪雨）
菊野台１－２１,地下１階飲食店浸水,2017/10/23,平成２９年台風２１号
菊野台３－２６,ドライエリアの排水ポンプ故障のため地下居室浸水,2017/10/23,平成２９年台風２１号
西つつじケ丘１－５,地下１階作業所浸水,2017/10/23,平成２９年台風２１号
佐須町２－２６,床上浸水（地下住居部分）,2018/03/09,平成３０年３月９日大雨
布田５－５３,床下浸水（地下物置）,2018/03/09,平成３０年３月９日大雨
調布ケ丘２－１６,一部損壊・床上浸水（道路より低位置にある居室への浸水）,2018/08/13,平成３０年８月１３日大雨
佐須町２－２６,一部損壊，一部浸水（水の流入による地下室への浸水）,2018/08/13,平成３０年８月１３日大雨
上石原３－６０,床上浸水（地下室）,2019/10/12,令和元年台風１９号
小島町２－４５,床上浸水,2019/10/12,令和元年台風１９号
染地２－３３,床上浸水（地下室）,2019/10/12,令和元年台風１９号
染地２－３３,床下浸水（地下車庫に浸水）,2019/10/12,令和元年台風１９号
染地２－３３,床上浸水,2019/10/12,令和元年台風１９号
染地２－３３,床下浸水,2019/10/12,令和元年台風１９号
染地２－３３,床下浸水,2019/10/12,令和元年台風１９号
染地２－３５,床下浸水,2019/10/12,令和元年台風１９号
染地２－３５,床下浸水（地下倉庫）,2019/10/12,令和元年台風１９号
染地３－１,床上浸水（事務所１階浸水）,2019/10/12,令和元年台風１９号
