"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","調布市","上石原二丁目","","31","9","-38128.8","-27463.5","35.655944","139.530019","1","1","0","0"
"東京都","調布市","上石原一丁目","","16","9","-37550.9","-27451.6","35.661154","139.530131","1","0","0","0"
"東京都","調布市","上石原一丁目","","15","9","-37576.4","-27462.6","35.660923","139.530011","1","0","0","0"
"東京都","調布市","下石原二丁目","","6","9","-38266.9","-27415.6","35.654701","139.530553","1","1","0","0"
"東京都","調布市","下石原三丁目","","9","9","-38427.6","-27430.7","35.653252","139.530392","1","1","0","0"
"東京都","調布市","上石原一丁目","","17","9","-37552.5","-27390.7","35.661141","139.530804","1","1","0","0"
"東京都","調布市","多摩川四丁目","","27","9","-39559.5","-27398.6","35.643051","139.530784","1","1","0","0"
"東京都","調布市","多摩川三丁目","","30","9","-39110.5","-27378.2","35.647098","139.530994","1","1","0","0"
"東京都","調布市","下石原三丁目","","28","9","-38581.5","-27396.1","35.651865","139.530780","1","1","0","0"
"東京都","調布市","上石原一丁目","","38","9","-37928.1","-27377.1","35.657756","139.530967","1","1","0","0"
"東京都","調布市","多摩川三丁目","","29","9","-39085.2","-27366.9","35.647326","139.531119","1","1","0","0"
"東京都","調布市","下石原二丁目","","5","9","-38220.5","-27373.3","35.655120","139.531019","1","1","0","0"
"東京都","調布市","多摩川三丁目","","48","9","-39278.1","-27356.2","35.645588","139.531243","1","1","0","0"
"東京都","調布市","多摩川三丁目","","20","9","-39262.1","-27302.7","35.645734","139.531833","1","1","0","0"
"東京都","調布市","多摩川三丁目","","22","9","-39201.3","-27326.9","35.646281","139.531564","1","1","0","0"
"東京都","調布市","多摩川三丁目","","20","9","-39233.2","-27304.6","35.645994","139.531812","1","0","0","0"
"東京都","調布市","下石原二丁目","","4","9","-38282.5","-27310.2","35.654563","139.531718","1","1","0","0"
"東京都","調布市","上石原一丁目","","48","9","-37980.1","-27281.1","35.657290","139.532028","1","1","0","0"
"東京都","調布市","上石原一丁目","","47","9","-38037.0","-27263.2","35.656777","139.532228","1","1","0","0"
"東京都","調布市","下石原三丁目","","24","9","-38737.9","-27256.3","35.650459","139.532328","1","1","0","0"
"東京都","調布市","上石原一丁目","","36","9","-37784.2","-27236.3","35.659056","139.532517","1","1","0","0"
"東京都","調布市","多摩川四丁目","","22","9","-39365.3","-27216.7","35.644806","139.532786","1","1","0","0"
"東京都","調布市","多摩川三丁目","","20","9","-39270.6","-27225.0","35.645659","139.532692","1","0","0","0"
"東京都","調布市","下石原三丁目","","24","9","-38763.7","-27222.3","35.650228","139.532704","1","0","0","0"
"東京都","調布市","富士見町一丁目","","23","9","-37435.4","-27186.8","35.662202","139.533052","1","1","0","0"
"東京都","調布市","上石原一丁目","","42","9","-37814.8","-27177.5","35.658783","139.533167","1","1","0","0"
"東京都","調布市","多摩川三丁目","","15","9","-39275.9","-27181.9","35.645613","139.533168","1","1","0","0"
"東京都","調布市","多摩川三丁目","","16","9","-39299.1","-27185.1","35.645404","139.533134","0","1","0","0"
"東京都","調布市","下石原一丁目","","63","9","-37789.7","-27124.7","35.659010","139.533750","0","1","0","0"
"東京都","調布市","富士見町一丁目","","18","9","-37569.0","-27148.6","35.660999","139.533478","1","1","0","0"
"東京都","調布市","下石原二丁目","","24","9","-38392.1","-27159.6","35.653580","139.533385","1","1","0","0"
"東京都","調布市","多摩川三丁目","","13","9","-39181.1","-27153.6","35.646467","139.533478","1","1","0","0"
"東京都","調布市","下石原三丁目","","55","9","-38760.3","-27100.8","35.650262","139.534046","1","1","0","0"
"東京都","調布市","下石原二丁目","","18","9","-38255.7","-27144.2","35.654810","139.533550","1","1","0","0"
"東京都","調布市","富士見町四丁目","","36","9","-36986.8","-27142.0","35.666247","139.533531","1","1","0","0"
"東京都","調布市","富士見町四丁目","","37","9","-37022.9","-27142.4","35.665921","139.533529","1","1","0","0"
